,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
35,SC6-LPT,25.0,18/09/2019,21:32:19.031,12.33,0.24,26.261999999999997,78.82,153.14,18641.93,1.0,103.41,18534.69,1.0,58.29,19785.68,1.0,129.18,18412.93,1.0,68.94,18368.37,1.0,71.01,16570.45,1.0
36,SC6-LPT,25.0,18/09/2019,21:32:19.571,12.33,0.22,26.263,77.99,148.34,18572.23,1.0,105.37,18551.16,1.0,61.87,19786.0,1.0,139.07,18400.08,1.0,68.94,18360.63,1.0,68.52,16642.17,1.0
37,SC6-LPT,25.0,18/09/2019,21:32:20.111,12.33,0.22,26.267,76.79,146.84,18610.6,1.0,102.84,18537.61,1.0,59.54,19760.47,1.0,133.94,18398.09,1.0,70.23,18385.72,1.0,70.21,16630.09,1.0
38,SC6-LPT,25.0,18/09/2019,21:32:20.650,12.33,0.22,26.269000000000002,76.86,158.5,18693.71,1.0,107.22,18533.6,1.0,58.15,19723.44,1.0,132.33,18430.02,1.0,70.73,18345.62,1.0,72.27,16587.59,1.0
39,SC6-LPT,25.0,18/09/2019,21:32:21.186,12.33,0.21,26.271,77.18,149.04,18621.84,1.0,102.93,18569.98,1.0,60.93,19734.81,1.0,124.39,18408.55,1.0,68.61,18375.7,1.0,69.67,16601.01,1.0
40,SC6-LPT,25.0,18/09/2019,21:32:21.725,12.35,0.22,26.275,77.46,154.39,18701.69,1.0,101.99,18531.8,1.0,60.06,19678.42,1.0,132.27,18380.64,1.0,69.11,18359.98,1.0,66.28,16562.04,1.0
41,SC6-LPT,25.0,18/09/2019,21:32:22.263,12.33,0.21,26.276,79.48,145.43,18582.47,1.0,105.57,18523.45,1.0,60.53,19802.57,1.0,139.47,18415.17,1.0,67.3,18381.28,1.0,61.56,16556.87,1.0
42,SC6-LPT,25.0,18/09/2019,21:32:22.803,12.33,0.21,26.278000000000002,82.63,153.28,18611.91,1.0,107.81,18564.76,1.0,60.91,19781.16,1.0,133.57,18413.5,1.0,69.42,18371.68,1.0,64.63,16573.1,1.0
43,SC6-LPT,25.0,18/09/2019,21:32:23.340,12.35,0.23,26.281,86.67,149.59,18694.05,1.0,106.59,18534.86,1.0,59.49,19700.86,1.0,129.13,18411.52,1.0,70.8,18387.84,1.0,67.41,16611.53,1.0
44,SC6-LPT,25.0,18/09/2019,21:32:24.885,12.33,0.23,26.283,87.36,153.92,18615.49,1.0,108.86,18523.92,1.0,58.88,19807.74,1.0,130.7,18397.45,1.0,70.01,18396.43,1.0,65.43,16675.78,1.0
45,SC6-LPT,25.0,18/09/2019,21:32:24.423,12.33,0.21,26.285,86.46,151.97,18644.54,1.0,109.18,18561.58,1.0,59.0,19736.71,1.0,123.98,18447.61,1.0,68.13,18379.86,1.0,67.62,16629.21,1.0
46,SC6-LPT,25.0,18/09/2019,21:32:25.962,12.33,0.26,26.288,83.54,156.65,18600.36,1.0,106.28,18557.71,1.0,61.6,19688.64,1.0,125.07,18412.63,1.0,69.29,18354.52,1.0,66.51,16593.24,1.0
47,SC6-LPT,25.0,18/09/2019,21:32:25.502,12.33,0.21,26.289,87.72,158.2,18542.75,1.0,110.33,18519.82,1.0,60.32,19720.06,1.0,124.85,18420.35,1.0,67.22,18401.04,1.0,69.06,16671.36,1.0
48,SC6-LPT,25.0,18/09/2019,21:32:26.041,12.35,0.22,26.29,87.15,153.01,18656.5,1.0,108.73,18558.85,1.0,60.25,19770.43,1.0,120.83,18444.24,1.0,70.53,18379.94,1.0,69.27,16601.38,1.0
49,SC6-LPT,25.0,18/09/2019,21:32:26.579,12.35,0.23,26.293000000000003,91.07,148.99,18611.03,1.0,104.9,18535.88,1.0,61.43,19794.92,1.0,125.7,18431.67,1.0,66.32,18351.14,1.0,67.29,16586.95,1.0
50,SC6-LPT,25.0,18/09/2019,21:32:27.123,12.35,0.21,26.295,95.94,150.14,18618.85,1.0,110.49,18555.14,1.0,61.51,19721.14,1.0,134.04,18427.44,1.0,68.72,18405.33,1.0,61.8,16605.91,1.0
51,SC6-LPT,25.0,18/09/2019,21:32:27.660,12.35,0.22,26.295,91.87,155.91,18606.85,1.0,110.69,18538.91,1.0,62.99,19728.25,1.0,130.92,18450.39,1.0,68.55,18356.75,1.0,64.82,16551.51,1.0
52,SC6-LPT,25.0,18/09/2019,21:32:28.200,12.33,0.28,26.299,91.36,153.21,18622.3,1.0,111.18,18531.04,1.0,61.81,19694.8,1.0,133.12,18368.68,1.0,69.36,18381.69,1.0,63.17,16548.6,1.0
53,SC6-LPT,25.0,18/09/2019,21:32:28.739,12.35,0.22,26.299,89.87,158.74,18573.34,1.0,110.16,18547.67,1.0,62.25,19686.84,1.0,134.0,18447.27,1.0,69.79,18346.29,1.0,65.86,16543.29,1.0
54,SC6-LPT,25.0,18/09/2019,21:32:29.278,12.35,0.22,26.3,87.96,150.35,18562.57,1.0,111.97,18558.96,1.0,62.18,19717.98,1.0,135.0,18404.44,1.0,69.51,18382.55,1.0,68.09,16543.6,1.0
55,SC6-LPT,25.0,18/09/2019,21:32:30.815,12.33,0.21,26.302,88.27,152.35,18648.26,1.0,110.93,18539.65,1.0,57.76,19797.41,1.0,138.93,18428.69,1.0,70.94,18363.43,1.0,64.75,16597.32,1.0
56,SC6-LPT,25.0,18/09/2019,21:32:30.360,12.35,0.22,26.304000000000002,87.11,153.44,18647.38,1.0,112.02,18543.66,1.0,60.81,19783.83,1.0,140.14,18407.41,1.0,69.08,18365.1,1.0,66.32,16675.49,1.0
57,SC6-LPT,25.0,18/09/2019,21:32:31.898,12.35,0.22,26.305,86.42,158.64,18640.32,1.0,106.13,18536.89,1.0,59.6,19829.69,1.0,136.23,18409.5,1.0,71.72,18349.09,1.0,64.62,16613.47,1.0
58,SC6-LPT,25.0,18/09/2019,21:32:31.437,12.33,0.21,26.308000000000003,87.37,152.13,18569.37,1.0,108.43,18532.99,1.0,61.93,19799.17,1.0,133.53,18413.66,1.0,71.53,18379.42,1.0,66.09,16596.63,1.0
59,SC6-LPT,25.0,18/09/2019,21:32:32.975,12.33,0.21,26.309,86.93,156.24,18732.17,1.0,111.39,18562.16,1.0,61.9,19774.0,1.0,137.68,18387.37,1.0,70.01,18355.35,1.0,66.51,16663.56,1.0
60,SC6-LPT,25.0,18/09/2019,21:32:32.514,12.35,0.23,26.311,86.18,156.63,18633.15,1.0,107.37,18537.39,1.0,59.95,19723.04,1.0,136.6,18445.86,1.0,70.23,18358.95,1.0,65.22,16586.15,1.0
61,SC6-LPT,25.0,18/09/2019,21:32:33.052,12.35,0.23,26.311999999999998,87.51,161.82,18571.33,1.0,108.42,18547.93,1.0,61.38,19810.17,1.0,132.47,18418.42,1.0,71.81,18391.17,1.0,64.47,16558.84,1.0
