,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
42,SC6-LPT,25.0,02/10/2019,14:17:04.800,11.54,0.26,22.636,178.78,106.59,19318.72,1.0,107.57,18893.27,1.0,68.29,20700.34,1.0,105.57,19077.79,1.0,77.13,20401.26,1.0,62.5,18716.17,1.0
43,SC6-LPT,25.0,02/10/2019,14:17:09.247,11.54,0.27,22.636999999999997,178.9,100.26,19198.4,1.0,103.32,18883.58,1.0,65.49,20721.18,1.0,103.21,19080.23,1.0,77.31,20390.74,1.0,61.07,18702.93,1.0
44,SC6-LPT,25.0,02/10/2019,14:17:15.690,11.54,0.29,22.639,178.67,101.61,19296.05,1.0,106.27,18876.08,1.0,65.38,20624.23,1.0,106.22,19020.52,1.0,76.77,20370.97,1.0,61.79,18684.83,1.0
45,SC6-LPT,25.0,02/10/2019,14:17:20.135,11.54,0.28,22.64,178.78,107.48,19314.45,1.0,107.58,18897.8,1.0,67.5,20485.76,1.0,105.97,19011.02,1.0,80.49,20391.81,1.0,65.3,18638.38,1.0
46,SC6-LPT,25.0,02/10/2019,14:17:25.582,11.54,0.29,22.642,178.73,102.71,19308.44,1.0,104.1,18882.97,1.0,64.47,20539.48,1.0,106.5,19041.4,1.0,75.91,20358.26,1.0,63.92,18676.11,1.0
47,SC6-LPT,25.0,02/10/2019,14:17:31.026,11.54,0.28,22.644000000000002,178.71,105.87,19211.88,1.0,105.03,18874.68,1.0,65.76,20546.85,1.0,104.49,19032.41,1.0,75.57,20402.56,1.0,60.28,18633.71,1.0
48,SC6-LPT,25.0,02/10/2019,14:17:36.469,11.56,0.29,22.644000000000002,178.97,105.7,19217.48,1.0,109.63,18915.82,1.0,67.98,20590.92,1.0,109.84,19046.1,1.0,80.7,20361.79,1.0,64.37,18691.93,1.0
49,SC6-LPT,25.0,02/10/2019,14:17:42.912,11.54,0.3,22.649,178.76,108.62,19227.02,1.0,108.38,18882.0,1.0,67.46,20647.86,1.0,105.13,19042.18,1.0,79.59,20333.85,1.0,63.12,18700.14,1.0
50,SC6-LPT,25.0,02/10/2019,14:17:47.358,11.56,0.29,22.653000000000002,178.97,101.46,19181.57,1.0,108.03,18884.91,1.0,67.41,20661.58,1.0,103.94,19042.91,1.0,78.77,20370.03,1.0,62.79,18609.49,1.0
51,SC6-LPT,25.0,02/10/2019,14:17:53.801,11.54,0.29,22.653000000000002,178.9,107.64,19281.04,1.0,107.61,18878.21,1.0,69.03,20638.3,1.0,105.88,19066.42,1.0,80.75,20390.26,1.0,63.79,18625.29,1.0
52,SC6-LPT,25.0,02/10/2019,14:17:58.244,11.54,0.29,22.658,178.88,107.28,19227.0,1.0,105.58,18895.05,1.0,67.1,20684.21,1.0,100.92,19026.07,1.0,75.76,20339.77,1.0,62.18,18612.88,1.0
53,SC6-LPT,25.0,02/10/2019,14:18:04.689,11.54,0.27,22.66,178.69,104.37,19204.64,1.0,104.4,18890.2,1.0,67.56,20630.56,1.0,105.29,19084.13,1.0,78.12,20386.51,1.0,62.89,18700.7,1.0
54,SC6-LPT,25.0,02/10/2019,14:18:09.133,11.54,0.29,22.658,178.95,106.38,19235.97,1.0,110.4,18900.47,1.0,69.89,20542.41,1.0,108.92,19035.23,1.0,79.63,20422.16,1.0,65.27,18691.9,1.0
55,SC6-LPT,25.0,02/10/2019,14:18:15.577,11.54,0.25,22.66,178.79,107.86,19267.34,1.0,107.22,18897.22,1.0,67.07,20546.88,1.0,106.18,19080.46,1.0,78.33,20364.19,1.0,65.08,18655.32,1.0
56,SC6-LPT,25.0,02/10/2019,14:18:20.022,11.54,0.29,22.664,178.91,102.29,19276.28,1.0,108.32,18879.02,1.0,67.54,20544.46,1.0,102.51,19022.76,1.0,79.52,20407.31,1.0,63.74,18738.62,1.0
57,SC6-LPT,25.0,02/10/2019,14:18:25.465,11.54,0.29,22.665,178.87,105.99,19259.93,1.0,108.7,18914.55,1.0,69.01,20572.52,1.0,106.64,19081.68,1.0,81.0,20344.64,1.0,64.02,18678.63,1.0
58,SC6-LPT,25.0,02/10/2019,14:18:31.908,11.56,0.29,22.666999999999998,178.9,106.81,19237.79,1.0,105.49,18868.0,1.0,66.13,20568.23,1.0,106.73,19063.98,1.0,79.11,20379.79,1.0,61.11,18659.91,1.0
59,SC6-LPT,25.0,02/10/2019,14:18:36.353,11.54,0.29,22.67,178.93,101.7,19343.48,1.0,104.37,18915.0,1.0,66.52,20701.16,1.0,103.18,19049.6,1.0,76.78,20367.88,1.0,60.82,18694.22,1.0
60,SC6-LPT,25.0,02/10/2019,14:18:42.797,11.54,0.27,22.674,178.75,107.15,19259.0,1.0,104.53,18894.41,1.0,68.28,20674.07,1.0,103.24,19033.76,1.0,78.88,20389.52,1.0,62.99,18704.0,1.0
61,SC6-LPT,25.0,02/10/2019,14:18:47.240,11.54,0.3,22.673000000000002,178.66,104.52,19269.25,1.0,105.65,18908.3,1.0,69.63,20611.47,1.0,106.49,19093.64,1.0,78.75,20344.81,1.0,63.37,18732.26,1.0
62,SC6-LPT,25.0,02/10/2019,14:18:53.685,11.54,0.28,22.676,178.98,103.37,19352.62,1.0,107.64,18881.92,1.0,70.38,20543.69,1.0,109.82,19040.79,1.0,79.32,20393.56,1.0,64.65,18708.83,1.0
63,SC6-LPT,25.0,02/10/2019,14:18:58.129,11.54,0.29,22.678,178.87,106.69,19197.99,1.0,109.11,18908.66,1.0,71.09,20546.09,1.0,107.9,19069.41,1.0,78.49,20359.51,1.0,65.95,18711.67,1.0
64,SC6-LPT,25.0,02/10/2019,14:19:04.574,11.54,0.26,22.677,178.65,105.2,19212.78,1.0,106.57,18894.54,1.0,65.6,20563.12,1.0,106.24,19025.5,1.0,77.21,20356.35,1.0,61.44,18716.67,1.0
65,SC6-LPT,25.0,02/10/2019,14:19:09.020,11.54,0.27,22.68,178.77,106.0,19280.05,1.0,106.3,18906.72,1.0,66.72,20535.92,1.0,105.5,19027.37,1.0,77.98,20392.42,1.0,61.86,18696.46,1.0
66,SC6-LPT,25.0,02/10/2019,14:19:15.464,11.54,0.29,22.683000000000003,178.94,106.33,19294.02,1.0,109.7,18911.66,1.0,70.74,20528.08,1.0,110.05,19074.39,1.0,80.05,20368.17,1.0,64.22,18624.43,1.0
67,SC6-LPT,25.0,02/10/2019,14:19:20.907,11.54,0.21,22.682,178.69,111.89,19395.75,1.0,107.95,18892.28,1.0,68.97,20487.17,1.0,108.07,19087.75,1.0,81.89,20348.74,1.0,64.6,18638.39,1.0
68,SC6-LPT,25.0,02/10/2019,14:19:25.353,11.54,0.25,22.684,178.79,109.89,19277.68,1.0,108.59,18894.73,1.0,69.02,20541.53,1.0,105.76,19017.97,1.0,77.03,20366.93,1.0,64.2,18658.96,1.0
69,SC6-LPT,25.0,02/10/2019,14:19:31.797,11.54,0.27,22.686,178.78,103.95,19370.97,1.0,107.75,18916.14,1.0,66.45,20682.86,1.0,105.26,19104.46,1.0,80.38,20369.9,1.0,65.6,18666.16,1.0
70,SC6-LPT,25.0,02/10/2019,14:19:36.241,11.54,0.29,22.689,178.95,105.56,19218.54,1.0,110.48,18889.2,1.0,67.57,20619.21,1.0,105.36,19053.31,1.0,76.74,20324.27,1.0,61.4,18601.29,1.0
71,SC6-LPT,25.0,02/10/2019,14:19:42.686,11.54,0.27,22.691,178.85,105.55,19276.62,1.0,109.3,18907.17,1.0,69.4,20562.53,1.0,103.94,19117.29,1.0,77.54,20397.09,1.0,62.51,18602.92,1.0
72,SC6-LPT,25.0,02/10/2019,14:19:47.129,11.54,0.28,22.693,178.96,109.74,19355.29,1.0,111.35,18884.45,1.0,67.68,20482.52,1.0,108.57,19070.0,1.0,82.36,20368.96,1.0,65.44,18646.13,1.0
73,SC6-LPT,25.0,02/10/2019,14:19:53.572,11.54,0.27,22.694000000000003,178.73,107.96,19215.31,1.0,107.05,18909.62,1.0,66.04,20565.19,1.0,107.9,19027.69,1.0,80.86,20336.02,1.0,61.83,18696.25,1.0
74,SC6-LPT,25.0,02/10/2019,14:19:58.018,11.54,0.28,22.695999999999998,178.77,103.44,19271.84,1.0,108.76,18889.36,1.0,66.85,20639.48,1.0,107.79,19088.75,1.0,79.64,20342.78,1.0,65.55,18689.41,1.0
75,SC6-LPT,25.0,02/10/2019,14:20:04.461,11.54,0.28,22.697,178.83,107.07,19211.49,1.0,108.81,18904.32,1.0,69.13,20600.29,1.0,104.28,19073.12,1.0,78.8,20359.16,1.0,64.42,18587.35,1.0
76,SC6-LPT,25.0,02/10/2019,14:20:09.904,11.54,0.28,22.699,178.66,108.57,19173.28,1.0,107.71,18930.62,1.0,70.04,20587.75,1.0,105.19,19083.76,1.0,80.97,20379.62,1.0,65.47,18660.77,1.0
