SS_OBS501_I2016[FNU]Mean,Eco_ntu_suavizado
38.33181818,26.4523
38.27272727,26.24913333
37.173,26.28607273
39.42090909,26.3304
37.64090909,26.46971429
37.69454545,26.4523
39.246,26.4523
38.89909091,26.50770909
38.2,26.28976667
36.56909091,26.3304
37.38727273,26.16786667
40.1075,26.5742
39.39727273,26.26390909
38.97454545,26.3304
41.417,26.421825
38.75545455,26.238975
39.975,26.0866
39.18272727,26.06443636
36.98,23.24226667
39.37363636,25.98908
38.19818182,25.3552
35.997,25.446625
35.85090909,25.43646667
35.46,25.27393333
36.56545455,25.33303636
36.06454545,25.79404
37.57363636,25.52934286
37.285,25.8428
39.42545455,25.64776
38.18909091,25.95361818
38.74454545,25.76153333
39.42545455,25.65317778
38.22909091,25.77314286
37.284,25.7209
39.24181818,25.89156
38.972,25.92406667
38.87818182,25.89156
37.727,26.0866
39.30444444,26.238975
40.076,26.22204444
40.55454545,25.9647
40.289,26.00533333
39.05111111,25.8428
38.99272727,25.42485714
39.32272727,25.690425
39.51272727,25.88343333
39.41090909,26.04227273
40.35272727,26.00533333
40.78333333,26.0866
40.243,26.00533333
40.11727273,25.89156
39.80625,25.599
40.15363636,25.7209
40.397,25.8428
39.21444444,25.599
37.97454545,25.40937778
38.72111111,25.39583333
39.34272727,25.74528
41.07363636,25.67214
40.19727273,25.53805
38.14545455,25.49064444
38.38090909,25.3552
38.81,25.43646667
39.39090909,25.812325
41.36555556,25.599
39.6,25.599
40.98727273,25.599
40.55111111,25.599
40.063,25.8428
40.67545455,26.02565
41.789,25.8428
41.34444444,26.28164
41.883,26.41166667
41.92090909,25.98908
40.22454545,25.92406667
41.11090909,26.16786667
40.45,25.599
39.00181818,24.9895
38.59777778,25.16016
40.106,25.92406667
41.20545455,26.0866
40.04636364,25.65317778
40.21909091,25.3552
39.93727273,25.50148
40.648,25.599
39.59636364,25.17789091
39.679,25.03013333
39.70454545,25.202825
39.84363636,25.30644
39.806,25.1114
40.18818182,25.64776
41.08909091,25.51773333
40.67545455,25.64776
40.87090909,25.92406667
41,25.599
41.21272727,25.507575
41.117,25.4771
39.803,25.64776
42.668,25.92406667
40.44909091,25.55024
39.32090909,25.599
41.18222222,25.51773333
40.25272727,25.50148
40.76272727,25.52934286
42.56181818,25.92406667
42.96454545,26.04596667
44.46272727,26.89114
42.98454545,26.5742
40.20272727,25.43646667
40.56090909,25.3552
39.266,26.03242222
41.152,26.16786667
43.01272727,26.30331111
42.09,26.3304
41.837,26.53356667
43.34636364,26.4523
42.16272727,26.818
40.59818182,26.0866
38.88454545,25.68026667
39.927,25.21975556
40.77727273,25.65995
40.91,25.55836667
42.095,26.03242222
41.532,26.4523
43.67909091,26.35478
46.14,26.9399
47.38818182,27.35436
47.078,28.037
48.379,28.30788889
48.75545455,28.8903
48.105,29.0122
49.16363636,29.256
50.35181818,29.66233333
50.65545455,30.00771667
50.29727273,29.9874
51.95090909,29.9874
51.04,30.39373333
51.37454545,30.44791111
52.23727273,30.50982857
52.825,31.10888
53.44272727,31.26735
53.799,31.5721
53.16,31.42582
55.23375,31.04386667
55.51,31.38054286
56.19090909,31.4502
56.13,32.24255
54.94,31.88904
55.36818182,32.10033333
57.24454545,32.5473
57.55181818,33.07553333
56.57272727,32.80851429
58.589,32.80851429
58.919,32.6692
58.859,32.760625
57.68,32.7911
60.95363636,33.09585
58.81363636,33.48186667
57.117,33.1568
59.89181818,33.58345
62.59,33.43542857
61.10181818,33.5225
60.99363636,33.98572
62.352,33.8882
59.48,33.21775
62.118,33.48186667
60.84727273,33.6444
59.95090909,33.8882
58.85090909,34.19295
61.476,33.85337143
62.539,33.4006
59.56909091,33.74192
58.96363636,33.25432
60.77454545,32.913
57.11454545,33.74598333
59.21272727,33.4006
57.92181818,33.38028333
61.89,33.58345
59.23,33.6444
60.395,33.47025714
60.34181818,34.3758
59.83272727,33.33094286
59.03363636,33.44936
57.06727273,34.132
59.43363636,34.8634
59.919,34.44229091
60.62363636,34.94466667
61.165,34.68925714
59.69545455,34.89822857
59.835,35.351
62.51,35.78442222
59.77454545,35.2291
61.74545455,35.26234545
60.16,35.5948
59.04,35.32662
58.772,35.67606667
62.61888889,35.62962857
64.079,35.5948
60.89,36.26525
58.17555556,35.87342857
63.25545455,35.65575
62.4,36.18688571
61.96818182,36.3262
60.274,36.05802
62.00363636,35.8386
60.02818182,35.78442222
60.38090909,36.00113333
60.56363636,36.173825
61.00818182,36.43068571
62.29181818,36.50905
60.78545455,36.8138
60.36909091,36.0824
61.37545455,35.92725455
61.76727273,36.48873333
62.439,37.3014
60.52909091,36.3262
59.85272727,36.92461818
60.94363636,37.3014
62.57363636,37.19304444
61.93090909,36.66752
61.72727273,36.71628
64.18363636,37.11855
66.43,36.87475
65.07727273,37.44071429
64.56272727,37.4233
66.74727273,38.34974
64.12727273,38.60166667
64.57545455,38.09375
66.11181818,38.62488571
68.91727273,38.82515
66.349,38.368025
67.13181818,39.008
67.036,38.30368889
65.054,38.2766
66.66636364,38.69106
66.75272727,38.5204
66.50272727,38.84546667
67.05636364,38.11406667
65.74545455,38.35786667
66.532,38.611825
64.44181818,38.19533333
67.94125,38.81296
65.638,38.7642
64.93909091,38.50008333
65.296,38.1547
65.51545455,38.1547
66.68545455,37.789
62.49636364,37.575675
66.30363636,38.97317143
65.53363636,37.98404
64.76,38.22242222
65.26454545,39.90193333
63.50727273,38.16824444
63.79909091,38.7642
65.26545455,38.45390909
64.739,37.789
67.54,38.29691667
63.40727273,38.5204
65.721,38.49823636
68.52818182,39.3737
65.94181818,39.31275
66.40545455,39.82066667
63.719,39.708925
67.991,38.32536
67.17545455,39.29243333
68.41545455,39.39808
65.30181818,39.15428
64.76454545,39.77422857
65.42545455,39.4956
68.41636364,39.92902222
67.51444444,38.7642
66.79363636,39.4956
63.88,40.9584
68.29272727,39.63104444
